From	Entry	Protein names	Gene Names	Function [CC]	Gene Ontology (cellular component)	Interacts with
ACAT1	A0A5F9ZI66	Acetyl-CoA acetyltransferase, mitochondrial (EC 2.3.1.9) (Acetoacetyl-CoA thiolase)	ACAT1	FUNCTION: This is one of the enzymes that catalyzes the last step of the mitochondrial beta-oxidation pathway, an aerobic process breaking down fatty acids into acetyl-CoA. Using free coenzyme A/CoA, catalyzes the thiolytic cleavage of medium- to long-chain 3-oxoacyl-CoAs into acetyl-CoA and a fatty acyl-CoA shortened by two carbon atoms. The activity of the enzyme is reversible and it can also catalyze the condensation of two acetyl-CoA molecules into acetoacetyl-CoA. Thereby, it plays a major role in ketone body metabolism. {ECO:0000256|ARBA:ARBA00045244}.	mitochondrion [GO:0005739]	
ACAT1	E9PRQ6	Acetyl-CoA acetyltransferase 1	ACAT1			
ACAT1	H0YEL7	Acetyl-CoA acetyltransferase 1	ACAT1		mitochondrion [GO:0005739]	
ADAM10	O14672	Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (CDw156) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c)	ADAM10 KUZ MADM	FUNCTION: Transmembrane metalloprotease which mediates the ectodomain shedding of a myriad of transmembrane proteins, including adhesion proteins, growth factor precursors and cytokines being essential for development and tissue homeostasis (PubMed:11786905, PubMed:12475894, PubMed:20592283, PubMed:24990881, PubMed:26686862, PubMed:28600292, PubMed:31792032). Associates with six members of the tetraspanin superfamily TspanC8 which regulate its exit from the endoplasmic reticulum and its substrate selectivity (PubMed:26686862, PubMed:28600292, PubMed:31792032, PubMed:34739841, PubMed:37516108). Cleaves the membrane-bound precursor of TNF-alpha at '76-Ala-|-Val-77' to its mature soluble form. Responsible for the proteolytical release of soluble JAM3 from endothelial cells surface (PubMed:20592283). Responsible for the proteolytic release of several other cell-surface proteins, including heparin-binding epidermal growth-like factor, ephrin-A2, CD44, CDH2 and for constitutive and regulated alpha-secretase cleavage of amyloid precursor protein (APP) (PubMed:11786905, PubMed:26686862, PubMed:29224781, PubMed:34739841). Contributes to the normal cleavage of the cellular prion protein (PubMed:11477090). Involved in the cleavage of the adhesion molecule L1 at the cell surface and in released membrane vesicles, suggesting a vesicle-based protease activity (PubMed:12475894). Also controls the proteolytic processing of Notch and mediates lateral inhibition during neurogenesis (By similarity). Responsible for the FasL ectodomain shedding and for the generation of the remnant ADAM10-processed FasL (FasL APL) transmembrane form (PubMed:17557115). Also cleaves the ectodomain of the integral membrane proteins CORIN and ITM2B (PubMed:19114711, PubMed:21288900). Mediates the proteolytic cleavage of LAG3, leading to release the secreted form of LAG3 (By similarity). Mediates the proteolytic cleavage of IL6R and IL11RA, leading to the release of secreted forms of IL6R and IL11RA (PubMed:26876177). Enhances the cleavage of CHL1 by BACE1 (By similarity). Cleaves NRCAM (By similarity). Cleaves TREM2, resulting in shedding of the TREM2 ectodomain (PubMed:24990881). Involved in the development and maturation of glomerular and coronary vasculature (By similarity). During development of the cochlear organ of Corti, promotes pillar cell separation by forming a ternary complex with CADH1 and EPHA4 and cleaving CADH1 at adherens junctions (By similarity). May regulate the EFNA5-EPHA3 signaling (PubMed:16239146). Regulates leukocyte transmigration as a sheddase for the adherens junction protein VE-cadherin/CDH5 in endothelial cells (PubMed:28600292). {ECO:0000250|UniProtKB:O35598, ECO:0000269|PubMed:11477090, ECO:0000269|PubMed:11786905, ECO:0000269|PubMed:12475894, ECO:0000269|PubMed:16239146, ECO:0000269|PubMed:17557115, ECO:0000269|PubMed:19114711, ECO:0000269|PubMed:20592283, ECO:0000269|PubMed:21288900, ECO:0000269|PubMed:24990881, ECO:0000269|PubMed:26686862, ECO:0000269|PubMed:26876177, ECO:0000269|PubMed:28600292, ECO:0000269|PubMed:29224781, ECO:0000269|PubMed:31792032, ECO:0000269|PubMed:34739841, ECO:0000269|PubMed:37516108}.; FUNCTION: (Microbial infection) Promotes the cytotoxic activity of S.aureus hly by binding to the toxin at zonula adherens and promoting formation of toxin pores. {ECO:0000269|PubMed:20624979, ECO:0000269|PubMed:30463011}.	adherens junction [GO:0005912]; axon [GO:0030424]; cell surface [GO:0009986]; clathrin-coated vesicle [GO:0030136]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; Golgi-associated vesicle [GO:0005798]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nucleus [GO:0005634]; perinuclear endoplasmic reticulum [GO:0097038]; plasma membrane [GO:0005886]; pore complex [GO:0046930]; postsynaptic density [GO:0014069]; specific granule membrane [GO:0035579]; synaptic membrane [GO:0097060]; tertiary granule membrane [GO:0070821]; tetraspanin-enriched microdomain [GO:0097197]	P00519; P05067; P56817; P60033; P21926; P06241; Q13588; O75791; P62993; P08631; P06239; Q9BY11; Q9UNF0; Q9UKS6; Q99961; Q96RF0; P12931; O95859; Q8NG11; O95858; Q86UF1; P62079; P07947; P60033; O95859
ADAM10	A0A087WYG1	ADAM metallopeptidase domain 10	ADAM10			
ADAM10	A0AV88	Disintegrin and metalloproteinase domain-containing protein 10 (Kuzbanian protein homolog)	ADAM10		membrane [GO:0016020]	
ADAM10	B5MC71	ADAM metallopeptidase domain 10	ADAM10			
ADAM10	C9J9B4	ADAM metallopeptidase domain 10	ADAM10			
ADAM10	H0YK32	ADAM metallopeptidase domain 10	ADAM10			
ADAM10	H0YK87	ADAM metallopeptidase domain 10	ADAM10			
ADAM10	H0YNC5	ADAM metallopeptidase domain 10	ADAM10			
ADAM10	H3BS53	ADAM metallopeptidase domain 10	ADAM10			
ADAM10	L8E9R5	Alternative protein ADAM10	ADAM10			
AGK	Q53H12	Acylglycerol kinase, mitochondrial (hAGK) (EC 2.7.1.107) (EC 2.7.1.138) (EC 2.7.1.94) (Multiple substrate lipid kinase) (HsMuLK) (MuLK) (Multi-substrate lipid kinase)	AGK MULK	FUNCTION: Lipid kinase that can phosphorylate both monoacylglycerol and diacylglycerol to form lysophosphatidic acid (LPA) and phosphatidic acid (PA), respectively (PubMed:15939762). Does not phosphorylate sphingosine (PubMed:15939762). Phosphorylates ceramide (By similarity). Phosphorylates 1,2-dioleoylglycerol more rapidly than 2,3-dioleoylglycerol (By similarity). Independently of its lipid kinase activity, acts as a component of the TIM22 complex (PubMed:28712724, PubMed:28712726). The TIM22 complex mediates the import and insertion of multi-pass transmembrane proteins into the mitochondrial inner membrane by forming a twin-pore translocase that uses the membrane potential as the external driving force (PubMed:28712724, PubMed:28712726). In the TIM22 complex, required for the import of a subset of metabolite carriers into mitochondria, such as ANT1/SLC25A4 and SLC25A24, while it is not required for the import of TIMM23 (PubMed:28712724). Overexpression increases the formation and secretion of LPA, resulting in transactivation of EGFR and activation of the downstream MAPK signaling pathway, leading to increased cell growth (PubMed:15939762). {ECO:0000250|UniProtKB:Q9ESW4, ECO:0000269|PubMed:15939762, ECO:0000269|PubMed:28712724, ECO:0000269|PubMed:28712726}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial membrane [GO:0031966]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; TIM22 mitochondrial import inner membrane insertion complex [GO:0042721]	P53701; P42858; A0A096LP01; P42858
AGK	A0A0G2JLD0	Acylglycerol kinase	AGK			
AGK	A0A0G2JLG5	Acylglycerol kinase	AGK			
AGK	A0A3B3IRM6	Acylglycerol kinase	AGK			
AGK	A0A3B3IS09	Acylglycerol kinase	AGK			
AGK	A0A3B3ISY9	Acylglycerol kinase, mitochondrial (EC 2.7.1.107) (EC 2.7.1.138) (EC 2.7.1.94) (Multiple substrate lipid kinase)	AGK		intracellular membrane-bounded organelle [GO:0043231]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]	
AGK	A0A3B3ISZ0	Acylglycerol kinase, mitochondrial (EC 2.7.1.107) (EC 2.7.1.138) (EC 2.7.1.94) (Multiple substrate lipid kinase)	AGK		intracellular membrane-bounded organelle [GO:0043231]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]	
AGK	A0A3B3ITD0	Acylglycerol kinase, mitochondrial (EC 2.7.1.107) (EC 2.7.1.138) (EC 2.7.1.94) (Multiple substrate lipid kinase)	AGK		intracellular membrane-bounded organelle [GO:0043231]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]	
AGK	A0A3B3ITV0	Acylglycerol kinase, mitochondrial (EC 2.7.1.107) (EC 2.7.1.138) (EC 2.7.1.94) (Multiple substrate lipid kinase)	AGK		mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]	
AGK	A0A3B3ITX7	Acylglycerol kinase	AGK			
AGK	A0A3B3IUC9	Acylglycerol kinase	AGK			
AGK	E9PC15	Acylglycerol kinase, mitochondrial (EC 2.7.1.107) (EC 2.7.1.138) (EC 2.7.1.94) (Multiple substrate lipid kinase)	AGK		intracellular membrane-bounded organelle [GO:0043231]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]	
AGK	E9PG39	Acylglycerol kinase, mitochondrial (EC 2.7.1.107) (EC 2.7.1.138) (EC 2.7.1.94) (Multiple substrate lipid kinase)	AGK		mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]	
AGK	F8WDD1	Acylglycerol kinase	AGK			
AHCY	P23526	Adenosylhomocysteinase (AdoHcyase) (EC 3.13.2.1) (S-adenosyl-L-homocysteine hydrolase)	AHCY SAHH	FUNCTION: Catalyzes the hydrolysis of S-adenosyl-L-homocysteine to form adenosine and homocysteine (PubMed:10933798). Binds copper ions (By similarity). {ECO:0000250|UniProtKB:P50247, ECO:0000269|PubMed:10933798}.	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; melanosome [GO:0042470]; nucleus [GO:0005634]	Q6AI12; Q92624; Q9BV19
AHCY	Q1RMG2	Adenosylhomocysteinase (EC 3.13.2.1)	AHCY			
AP3B1	O00203	AP-3 complex subunit beta-1 (Adaptor protein complex AP-3 subunit beta-1) (Adaptor-related protein complex 3 subunit beta-1) (Beta-3A-adaptin) (Clathrin assembly protein complex 3 beta-1 large chain)	AP3B1 ADTB3A	FUNCTION: Subunit of non-clathrin- and clathrin-associated adaptor protein complex 3 (AP-3) that plays a role in protein sorting in the late-Golgi/trans-Golgi network (TGN) and/or endosomes. The AP complexes mediate both the recruitment of clathrin to membranes and the recognition of sorting signals within the cytosolic tails of transmembrane cargo molecules. AP-3 appears to be involved in the sorting of a subset of transmembrane proteins targeted to lysosomes and lysosome-related organelles. In concert with the BLOC-1 complex, AP-3 is required to target cargos into vesicles assembled at cell bodies for delivery into neurites and nerve terminals. {ECO:0000305|PubMed:9151686}.	AP-3 adaptor complex [GO:0030123]; axon cytoplasm [GO:1904115]; clathrin adaptor complex [GO:0030131]; clathrin-coated vesicle membrane [GO:0030665]; early endosome [GO:0005769]; Golgi apparatus [GO:0005794]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; microvesicle [GO:1990742]; mitochondrion [GO:0005739]	A0A0S2Z5Q7; P46379-2; O14645; P42858; Q5S007; Q96CV9; P37840; Q12955; Q9Y496
AP3B1	A0A0S2Z4X7	Adaptor-related protein complex 3 beta 1 subunit isoform 3	AP3B1			
AP3B1	A0A0S2Z4Z4	Adaptor related protein complex 3 subunit beta 1 (Adaptor-related protein complex 3 beta 1 subunit isoform 2)	AP3B1		AP-3 adaptor complex [GO:0030123]; clathrin-coated vesicle membrane [GO:0030665]	
AP3B1	A0A0S2Z5J4	Adaptor-related protein complex 3 beta 1 subunit isoform 1	AP3B1	FUNCTION: Subunit of non-clathrin- and clathrin-associated adaptor protein complex 3 (AP-3) that plays a role in protein sorting in the late-Golgi/trans-Golgi network (TGN) and/or endosomes. The AP complexes mediate both the recruitment of clathrin to membranes and the recognition of sorting signals within the cytosolic tails of transmembrane cargo molecules. AP-3 appears to be involved in the sorting of a subset of transmembrane proteins targeted to lysosomes and lysosome-related organelles. In concert with the BLOC-1 complex, AP-3 is required to target cargos into vesicles assembled at cell bodies for delivery into neurites and nerve terminals. {ECO:0000256|ARBA:ARBA00023570}.	AP-3 adaptor complex [GO:0030123]; axon cytoplasm [GO:1904115]; clathrin adaptor complex [GO:0030131]; clathrin-coated vesicle membrane [GO:0030665]; microvesicle [GO:1990742]; mitochondrion [GO:0005739]	
AP3B1	A0A8Q3SHP3	AP complex subunit beta	AP3B1		endomembrane system [GO:0012505]; membrane coat [GO:0030117]	
AP3B1	A0A8Q3SHR2	AP-3 complex subunit beta	AP3B1	FUNCTION: Subunit of non-clathrin- and clathrin-associated adaptor protein complex 3 (AP-3) that plays a role in protein sorting in the late-Golgi/trans-Golgi network (TGN) and/or endosomes. The AP complexes mediate both the recruitment of clathrin to membranes and the recognition of sorting signals within the cytosolic tails of transmembrane cargo molecules. AP-3 appears to be involved in the sorting of a subset of transmembrane proteins targeted to lysosomes and lysosome-related organelles. In concert with the BLOC-1 complex, AP-3 is required to target cargos into vesicles assembled at cell bodies for delivery into neurites and nerve terminals. {ECO:0000256|ARBA:ARBA00023570}.	AP-3 adaptor complex [GO:0030123]; clathrin-coated vesicle membrane [GO:0030665]	
AP3B1	A0A8Q3SHS3	AP-3 complex subunit beta	AP3B1	FUNCTION: Subunit of non-clathrin- and clathrin-associated adaptor protein complex 3 (AP-3) that plays a role in protein sorting in the late-Golgi/trans-Golgi network (TGN) and/or endosomes. The AP complexes mediate both the recruitment of clathrin to membranes and the recognition of sorting signals within the cytosolic tails of transmembrane cargo molecules. AP-3 appears to be involved in the sorting of a subset of transmembrane proteins targeted to lysosomes and lysosome-related organelles. In concert with the BLOC-1 complex, AP-3 is required to target cargos into vesicles assembled at cell bodies for delivery into neurites and nerve terminals. {ECO:0000256|ARBA:ARBA00023570}.	AP-3 adaptor complex [GO:0030123]; clathrin-coated vesicle membrane [GO:0030665]	
AP3B1	A0A8Q3SHS6	Adaptor related protein complex 3 subunit beta 1	AP3B1	FUNCTION: Subunit of non-clathrin- and clathrin-associated adaptor protein complex 3 (AP-3) that plays a role in protein sorting in the late-Golgi/trans-Golgi network (TGN) and/or endosomes. The AP complexes mediate both the recruitment of clathrin to membranes and the recognition of sorting signals within the cytosolic tails of transmembrane cargo molecules. AP-3 appears to be involved in the sorting of a subset of transmembrane proteins targeted to lysosomes and lysosome-related organelles. In concert with the BLOC-1 complex, AP-3 is required to target cargos into vesicles assembled at cell bodies for delivery into neurites and nerve terminals. {ECO:0000256|ARBA:ARBA00023570}.	AP-3 adaptor complex [GO:0030123]; clathrin adaptor complex [GO:0030131]; clathrin-coated vesicle membrane [GO:0030665]	
AP3B1	A0A8Q3SHU2	Adaptor related protein complex 3 subunit beta 1	AP3B1		AP-3 adaptor complex [GO:0030123]; clathrin-coated vesicle membrane [GO:0030665]	
AP3B1	A0A8Q3SHV5	Adaptor related protein complex 3 subunit beta 1	AP3B1		endomembrane system [GO:0012505]; membrane coat [GO:0030117]	
AP3B1	A0A8Q3SHW6	AP-3 complex subunit beta	AP3B1	FUNCTION: Subunit of non-clathrin- and clathrin-associated adaptor protein complex 3 (AP-3) that plays a role in protein sorting in the late-Golgi/trans-Golgi network (TGN) and/or endosomes. The AP complexes mediate both the recruitment of clathrin to membranes and the recognition of sorting signals within the cytosolic tails of transmembrane cargo molecules. AP-3 appears to be involved in the sorting of a subset of transmembrane proteins targeted to lysosomes and lysosome-related organelles. In concert with the BLOC-1 complex, AP-3 is required to target cargos into vesicles assembled at cell bodies for delivery into neurites and nerve terminals. {ECO:0000256|ARBA:ARBA00023570}.	AP-3 adaptor complex [GO:0030123]; clathrin-coated vesicle membrane [GO:0030665]	
AP3B1	A0A8Q3SHX0	Adaptor related protein complex 3 subunit beta 1	AP3B1			
AP3B1	A0A8Q3SI03	AP-3 complex subunit beta	AP3B1		AP-3 adaptor complex [GO:0030123]; clathrin-coated vesicle membrane [GO:0030665]	
AP3B1	A0A8Q3SIM7	Adaptor related protein complex 3 subunit beta 1	AP3B1		AP-3 adaptor complex [GO:0030123]; clathrin-coated vesicle membrane [GO:0030665]	
AP3B1	A0A8Q3SIS1	AP-3 complex subunit beta	AP3B1	FUNCTION: Subunit of non-clathrin- and clathrin-associated adaptor protein complex 3 (AP-3) that plays a role in protein sorting in the late-Golgi/trans-Golgi network (TGN) and/or endosomes. The AP complexes mediate both the recruitment of clathrin to membranes and the recognition of sorting signals within the cytosolic tails of transmembrane cargo molecules. AP-3 appears to be involved in the sorting of a subset of transmembrane proteins targeted to lysosomes and lysosome-related organelles. In concert with the BLOC-1 complex, AP-3 is required to target cargos into vesicles assembled at cell bodies for delivery into neurites and nerve terminals. {ECO:0000256|ARBA:ARBA00023570}.	AP-3 adaptor complex [GO:0030123]; clathrin-coated vesicle membrane [GO:0030665]	
AP3B1	A0A8Q3WKF8	Adaptor related protein complex 3 subunit beta 1	AP3B1		AP-3 adaptor complex [GO:0030123]; clathrin-coated vesicle membrane [GO:0030665]	
AP3B1	A0A8Q3WKI5	Adaptor related protein complex 3 subunit beta 1	AP3B1		AP-3 adaptor complex [GO:0030123]; clathrin-coated vesicle membrane [GO:0030665]	
AP3B1	A0A8Q3WKJ9	AP-3 complex subunit beta	AP3B1	FUNCTION: Subunit of non-clathrin- and clathrin-associated adaptor protein complex 3 (AP-3) that plays a role in protein sorting in the late-Golgi/trans-Golgi network (TGN) and/or endosomes. The AP complexes mediate both the recruitment of clathrin to membranes and the recognition of sorting signals within the cytosolic tails of transmembrane cargo molecules. AP-3 appears to be involved in the sorting of a subset of transmembrane proteins targeted to lysosomes and lysosome-related organelles. In concert with the BLOC-1 complex, AP-3 is required to target cargos into vesicles assembled at cell bodies for delivery into neurites and nerve terminals. {ECO:0000256|ARBA:ARBA00023570}.	AP-3 adaptor complex [GO:0030123]; clathrin adaptor complex [GO:0030131]; clathrin-coated vesicle membrane [GO:0030665]	
AP3B1	A0A8Q3WKK0	AP-3 complex subunit beta	AP3B1	FUNCTION: Subunit of non-clathrin- and clathrin-associated adaptor protein complex 3 (AP-3) that plays a role in protein sorting in the late-Golgi/trans-Golgi network (TGN) and/or endosomes. The AP complexes mediate both the recruitment of clathrin to membranes and the recognition of sorting signals within the cytosolic tails of transmembrane cargo molecules. AP-3 appears to be involved in the sorting of a subset of transmembrane proteins targeted to lysosomes and lysosome-related organelles. In concert with the BLOC-1 complex, AP-3 is required to target cargos into vesicles assembled at cell bodies for delivery into neurites and nerve terminals. {ECO:0000256|ARBA:ARBA00023570}.	AP-3 adaptor complex [GO:0030123]; clathrin adaptor complex [GO:0030131]; clathrin-coated vesicle membrane [GO:0030665]	
AP3B1	A0A8Q3WKN2	AP-3 complex subunit beta	AP3B1		AP-3 adaptor complex [GO:0030123]; clathrin-coated vesicle membrane [GO:0030665]	
AP3B1	A0A8Q3WL34	AP-3 complex subunit beta	AP3B1	FUNCTION: Subunit of non-clathrin- and clathrin-associated adaptor protein complex 3 (AP-3) that plays a role in protein sorting in the late-Golgi/trans-Golgi network (TGN) and/or endosomes. The AP complexes mediate both the recruitment of clathrin to membranes and the recognition of sorting signals within the cytosolic tails of transmembrane cargo molecules. AP-3 appears to be involved in the sorting of a subset of transmembrane proteins targeted to lysosomes and lysosome-related organelles. In concert with the BLOC-1 complex, AP-3 is required to target cargos into vesicles assembled at cell bodies for delivery into neurites and nerve terminals. {ECO:0000256|ARBA:ARBA00023570}.	AP-3 adaptor complex [GO:0030123]; clathrin-coated vesicle membrane [GO:0030665]	
AP3B1	H0YBD0	Adaptor related protein complex 3 subunit beta 1	AP3B1			
AP3B1	L8EA53	Alternative protein AP3B1	AP3B1		membrane [GO:0016020]	
ARFIP1	P53367	Arfaptin-1 (ADP-ribosylation factor-interacting protein 1)	ARFIP1	FUNCTION: Plays a role in controlling biogenesis of secretory granules at the trans-Golgi network (PubMed:22981988). Mechanistically, binds ARF-GTP at the neck of a growing secretory granule precursor and forms a protective scaffold (PubMed:22981988, PubMed:9038142). Once the granule precursor has been completely loaded, active PRKD1 phosphorylates ARFIP1 and releases it from ARFs (PubMed:22981988). In turn, ARFs induce fission (PubMed:22981988). Through this mechanism, ensures proper secretory granule formation at the Golgi of pancreatic beta cells (PubMed:22981988). {ECO:0000269|PubMed:22981988, ECO:0000269|PubMed:9038142}.	cytosol [GO:0005829]; Golgi membrane [GO:0000139]; trans-Golgi network membrane [GO:0032588]	P51825-3; P84077; P53365; P40616; Q8WZ55; Q96DZ9-2; Q9BSY9; Q7Z3Y8; Q14525; P43360; Q15139; Q9NS64; O15126; Q8WV19; Q71RC9; O60906; O43761; Q9UBN6
ARFIP1	B4E273	ADP-ribosylation factor interacting protein 1 (Arfaptin 1), isoform CRA_b (ARFIP1 protein) (cDNA FLJ53696, highly similar to Arfaptin-1)	ARFIP1 hCG_26981		cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]	
ARMC1	Q9NVT9	Armadillo repeat-containing protein 1	ARMC1 ARCP	FUNCTION: In association with mitochondrial contact site and cristae organizing system (MICOS) complex components and mitochondrial outer membrane sorting assembly machinery (SAM) complex components may regulate mitochondrial dynamics playing a role in determining mitochondrial length, distribution and motility. {ECO:0000269|PubMed:31644573}.	cytosol [GO:0005829]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]	Q9H019; Q9Y225-2
