"Gene","Gene_single","mean log2(fold)","mean -log10  p value","significant in n/4 datasets","rank","bins","Function [CC]","Protein names"
"ATP1A1","ATP1A1",-0.5146051447,2.489916123,3,168,"(-0.6,-0.5]","FUNCTION: This is the catalytic component of the active enzyme, which catalyzes the hydrolysis of ATP coupled with the exchange of sodium and potassium ions across the plasma membrane. This action creates the electrochemical gradient of sodium and potassium ions, providing the energy for active transport of various nutrients (PubMed:29499166, PubMed:30388404). Could also be part of an osmosensory signaling pathway that senses body-fluid sodium levels and controls salt intake behavior as well as voluntary water intake to regulate sodium homeostasis (By similarity). {ECO:0000250|UniProtKB:Q8VDN2, ECO:0000269|PubMed:29499166, ECO:0000269|PubMed:30388404}.","Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-1)"
"ATP5C1","ATP5C1",-0.524003158,1.945027545,3,172,"(-0.6,-0.5]",NA,NA
"ATP5F1","ATP5F1",-0.428209078,1.97993434,3,133,"(-0.5,-0.4]",NA,NA
"ATP5H","ATP5H",-1.392588593,2.821857129,3,236,"(-1.4,-1.3]","FUNCTION: Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core, and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Part of the complex F(0) domain and the peripheric stalk, which acts as a stator to hold the catalytic alpha(3)beta(3) subcomplex and subunit a/ATP6 static relative to the rotary elements. {ECO:0000256|ARBA:ARBA00003411}.","ATP synthase subunit d, mitochondrial"
"ATP5I","ATP5I",-0.8571515667,2.580059823,3,217,"(-0.9,-0.8]",NA,NA
"BAG5","BAG5",0.7565098306,1.741667499,3,4,"(0.7,0.8]","FUNCTION: Co-chaperone for HSP/HSP70 proteins. It functions as a nucleotide-exchange factor promoting the release of ADP from HSP70, thereby activating HSP70-mediated protein refolding (PubMed:20223214). Has an essential role in maintaining proteostasis at junctional membrane complexes (JMC), where it may function as a scaffold between the HSPA8 chaperone and JMC proteins enabling correct, HSPA8-dependent JMC protein folding (By similarity). Inhibits both auto-ubiquitination of PRKN and ubiquitination of target proteins by PRKN (By similarity). {ECO:0000250|UniProtKB:Q5QJC9, ECO:0000250|UniProtKB:Q8CI32, ECO:0000269|PubMed:20223214}.","BAG family molecular chaperone regulator 5 (BAG-5) (Bcl-2-associated athanogene 5)"
"BBS9","BBS9",-0.4726636993,1.402366429,3,155,"(-0.5,-0.4]","FUNCTION: The BBSome complex is thought to function as a coat complex required for sorting of specific membrane proteins to the primary cilia. The BBSome complex is required for ciliogenesis but is dispensable for centriolar satellite function. This ciliogenic function is mediated in part by the Rab8 GDP/GTP exchange factor, which localizes to the basal body and contacts the BBSome. Rab8(GTP) enters the primary cilium and promotes extension of the ciliary membrane. Firstly the BBSome associates with the ciliary membrane and binds to RAB3IP/Rabin8, the guanosyl exchange factor (GEF) for Rab8 and then the Rab8-GTP localizes to the cilium and promotes docking and fusion of carrier vesicles to the base of the ciliary membrane. Required for proper BBSome complex assembly and its ciliary localization. {ECO:0000269|PubMed:17574030, ECO:0000269|PubMed:22072986}.","Protein PTHB1 (Bardet-Biedl syndrome 9 protein) (Parathyroid hormone-responsive B1 gene protein)"
"BCAP29","BCAP29",-0.4485408415,2.339203316,3,144,"(-0.5,-0.4]","FUNCTION: May play a role in anterograde transport of membrane proteins from the endoplasmic reticulum to the Golgi. May be involved in CASP8-mediated apoptosis (By similarity). {ECO:0000250}.","B-cell receptor-associated protein 29 (BCR-associated protein 29) (Bap29)"
"BCL9","BCL9",0.331254743,2.363476701,3,40,"(0.3,0.4]","FUNCTION: Involved in signal transduction through the Wnt pathway. Promotes beta-catenin's transcriptional activity (By similarity). {ECO:0000250, ECO:0000269|PubMed:11955446}.","B-cell CLL/lymphoma 9 protein (B-cell lymphoma 9 protein) (Bcl-9) (Protein legless homolog)"
"BPNT1","BPNT1",0.2863207588,1.83928567,3,50,"(0.2,0.3]","FUNCTION: Phosphatase that converts 3'(2')-phosphoadenosine 5'-phosphate (PAP) to AMP and inositol 1,4-bisphosphate (Ins(1,4)P2) to inositol 4-phosphate (PubMed:10675562). Is also able to hydrolyze adenosine 3'-phosphate 5'-phosphosulfate (PAPS) to adenosine 5'-phosphosulfate (APS) (By similarity). Probably prevents the toxic accumulation of PAP, a compound which inhibits a variety of proteins, including PAPS-utilizing enzymes such as sulfotransferases, and RNA processing enzymes. Could also play a role in inositol recycling and phosphoinositide metabolism. Is not active on 3'-AMP, inositol-1-phosphate and inositol-1,4,5-triphosphate (PubMed:10675562). {ECO:0000250|UniProtKB:Q9Z1N4, ECO:0000269|PubMed:10675562}.","3'(2'),5'-bisphosphate nucleotidase 1 (EC 3.1.3.7) (3'-phosphoadenosine 5'-phosphate phosphatase) (PAP phosphatase) (Bisphosphate 3'-nucleotidase 1) (BPntase 1) (HsPIP) (Inositol-polyphosphate 1-phosphatase) (EC 3.1.3.57)"
"C19orf43","C19orf43",-0.4440317353,1.843742799,3,141,"(-0.5,-0.4]",NA,NA
"C1QBP","C1QBP",-0.7883034274,1.828670744,3,214,"(-0.8,-0.7]","FUNCTION: Multifunctional and multicompartmental protein involved in inflammation and infection processes, ribosome biogenesis, protein synthesis in mitochondria, regulation of apoptosis, transcriptional regulation and pre-mRNA splicing (PubMed:10022843, PubMed:10479529, PubMed:10722602, PubMed:11086025, PubMed:11859136, PubMed:15243141, PubMed:16140380, PubMed:16177118, PubMed:17881511, PubMed:18676636, PubMed:19004836, PubMed:19164550, PubMed:20810993, PubMed:21536856, PubMed:21544310, PubMed:22700724, PubMed:28942965, PubMed:8662673, PubMed:8710908, PubMed:9461517). At the cell surface is thought to act as an endothelial receptor for plasma proteins of the complement and kallikrein-kinin cascades (PubMed:10479529, PubMed:11859136, PubMed:8662673, PubMed:8710908). Putative receptor for C1q; specifically binds to the globular 'heads' of C1q thus inhibiting C1; may perform the receptor function through a complex with C1qR/CD93 (PubMed:20810993, PubMed:8195709). In complex with cytokeratin-1/KRT1 is a high affinity receptor for kininogen-1/HMWK (PubMed:21544310). Can also bind other plasma proteins, such as coagulation factor XII leading to its autoactivation. May function to bind initially fluid kininogen-1 to the cell membrane. The secreted form may enhance both extrinsic and intrinsic coagulation pathways. It is postulated that the cell surface form requires docking with transmembrane proteins for downstream signaling which might be specific for a cell-type or response. By acting as C1q receptor is involved in chemotaxis of immature dendritic cells and neutrophils and is proposed to signal through CD209/DC-SIGN on immature dendritic cells, through integrin alpha-4/beta-1 during trophoblast invasion of the decidua, and through integrin beta-1 during endothelial cell adhesion and spreading (PubMed:16140380, PubMed:22700724, PubMed:9461517). Signaling involved in inhibition of innate immune response is implicating the PI3K-AKT/PKB pathway (PubMed:16177118). Required for protein synthesis in mitochondria (PubMed:28942965). In mitochondrial translation may be involved in formation of functional 55S mitoribosomes; the function seems to involve its RNA-binding activity (By similarity). Acts as a RNA modification reader, which specifically recognizes and binds mitochondrial RNAs modified by C5-methylcytosine (m5C) in response to stress, and promotes recruitment of the mitochondrial degradosome complex, leading to their degradation (PubMed:39019044). May be involved in the nucleolar ribosome maturation process; the function may involve the exchange of FBL for RRP1 in the association with pre-ribosome particles (By similarity). Involved in regulation of RNA splicing by inhibiting the RNA-binding capacity of SRSF1 and its phosphorylation (PubMed:10022843, PubMed:21536856). Is required for the nuclear translocation of splicing factor U2AF1L4 (By similarity). Involved in regulation of CDKN2A- and HRK-mediated apoptosis. Stabilizes mitochondrial CDKN2A isoform smARF (PubMed:17486078). May be involved in regulation of FOXC1 transcriptional activity and NFY/CCAAT-binding factor complex-mediated transcription (PubMed:15243141, PubMed:18676636). May play a role in antibacterial defense as it can bind to cell surface hyaluronan and inhibit Streptococcus pneumoniae hyaluronate lyase (PubMed:19004836). May be involved in modulation of the immune response; ligation by HCV core protein is resulting in suppression of interleukin-12 production in monocyte-derived dendritic cells (PubMed:11086025, PubMed:17881511). Involved in regulation of antiviral response by inhibiting RIGI- and IFIH1-mediated signaling pathways probably involving its association with MAVS after viral infection (PubMed:19164550). Acts as a regulator of DNA repair via homologous recombination by inhibiting the activity of MRE11: interacts with unphosphorylated MRE11 and RAD50 in absence of DNA damage, preventing formation and activity of the MRN complex. Following DNA damage, dissociates from phosphorylated MRE11, allowing formation of the MRN complex (PubMed:31353207). {ECO:0000250|UniProtKB:O35658, ECO:0000269|PubMed:10022843, ECO:0000269|PubMed:10479529, ECO:0000269|PubMed:10722602, ECO:0000269|PubMed:11086025, ECO:0000269|PubMed:11859136, ECO:0000269|PubMed:15243141, ECO:0000269|PubMed:16140380, ECO:0000269|PubMed:16177118, ECO:0000269|PubMed:17486078, ECO:0000269|PubMed:17881511, ECO:0000269|PubMed:18676636, ECO:0000269|PubMed:19004836, ECO:0000269|PubMed:19164550, ECO:0000269|PubMed:20810993, ECO:0000269|PubMed:21536856, ECO:0000269|PubMed:21544310, ECO:0000269|PubMed:22700724, ECO:0000269|PubMed:28942965, ECO:0000269|PubMed:31353207, ECO:0000269|PubMed:39019044, ECO:0000269|PubMed:8195709, ECO:0000269|PubMed:8662673, ECO:0000269|PubMed:8710908, ECO:0000269|PubMed:9461517}.; FUNCTION: (Microbial infection) Involved in HIV-1 replication, presumably by contributing to splicing of viral RNA. {ECO:0000269|PubMed:12833064}.; FUNCTION: (Microbial infection) In infection processes acts as an attachment site for microbial proteins, including Listeria monocytogenes internalin B (InlB) and Staphylococcus aureus protein A. {ECO:0000269|PubMed:10722602, ECO:0000269|PubMed:10747014, ECO:0000269|PubMed:12411480}.; FUNCTION: (Microbial infection) Involved in replication of Rubella virus. {ECO:0000269|PubMed:12034482}.","Complement component 1 Q subcomponent-binding protein, mitochondrial (ASF/SF2-associated protein p32) (Glycoprotein gC1qBP) (C1qBP) (Hyaluronan-binding protein 1) (Mitochondrial matrix protein p32) (gC1q-R protein) (p33) (SF2AP32)"
"CAPRIN1","CAPRIN1",-0.3778503504,1.676884451,3,112,"(-0.4,-0.3]","FUNCTION: mRNA-binding protein that acts as a regulator of mRNAs transport, translation and/or stability, and which is involved in neurogenesis, synaptic plasticity in neurons and cell proliferation and migration in multiple cell types (PubMed:17210633, PubMed:31439799, PubMed:35979925). Plays an essential role in cytoplasmic stress granule formation (PubMed:35977029). Acts as an mRNA regulator by mediating formation of some phase-separated membraneless compartment: undergoes liquid-liquid phase separation upon binding to target mRNAs, leading to assemble mRNAs into cytoplasmic ribonucleoprotein granules that concentrate mRNAs with associated regulatory factors (PubMed:31439799, PubMed:32302570, PubMed:32302571, PubMed:32302572, PubMed:34074792, PubMed:36040869, PubMed:36279435). Undergoes liquid-liquid phase separation following phosphorylation and interaction with FMR1, promoting formation of cytoplasmic ribonucleoprotein granules that concentrate mRNAs with factors that inhibit translation and mediate deadenylation of target mRNAs (PubMed:31439799). In these cytoplasmic ribonucleoprotein granules, CAPRIN1 mediates recruitment of CNOT7 deadenylase, leading to mRNA deadenylation and degradation (PubMed:31439799). Binds directly and selectively to MYC and CCND2 mRNAs (PubMed:17210633). In neuronal cells, directly binds to several mRNAs associated with RNA granules, including BDNF, CAMK2A, CREB1, MAP2, NTRK2 mRNAs, as well as to GRIN1 and KPNB1 mRNAs, but not to rRNAs (PubMed:17210633). {ECO:0000269|PubMed:17210633, ECO:0000269|PubMed:31439799, ECO:0000269|PubMed:32302570, ECO:0000269|PubMed:32302571, ECO:0000269|PubMed:34074792, ECO:0000269|PubMed:35977029, ECO:0000269|PubMed:35979925, ECO:0000269|PubMed:36040869, ECO:0000269|PubMed:36279435}.","Caprin-1 (Cell cycle-associated protein 1) (Cytoplasmic activation- and proliferation-associated protein 1) (GPI-anchored membrane protein 1) (GPI-anchored protein p137) (GPI-p137) (p137GPI) (Membrane component chromosome 11 surface marker 1) (RNA granule protein 105)"
"CDC37","CDC37",-0.3346138398,2.247415152,3,89,"(-0.4,-0.3]","FUNCTION: Co-chaperone that binds to numerous kinases and promotes their interaction with the Hsp90 complex, resulting in stabilization and promotion of their activity (PubMed:8666233). Inhibits HSP90AA1 ATPase activity (PubMed:23569206). {ECO:0000269|PubMed:23569206, ECO:0000269|PubMed:8666233}.","Hsp90 co-chaperone Cdc37 (Hsp90 chaperone protein kinase-targeting subunit) (p50Cdc37) [Cleaved into: Hsp90 co-chaperone Cdc37, N-terminally processed]"
"CDKN2A","CDKN2A",0.4531580942,2.042852483,3,24,"(0.4,0.5]","FUNCTION: Acts as a negative regulator of the proliferation of normal cells by interacting strongly with CDK4 and CDK6. This inhibits their ability to interact with cyclins D and to phosphorylate the retinoblastoma protein. {ECO:0000269|PubMed:16782892, ECO:0000269|PubMed:7972006}.","Cyclin-dependent kinase inhibitor 2A (Cyclin-dependent kinase 4 inhibitor A) (CDK4I) (Multiple tumor suppressor 1) (MTS-1) (p16-INK4a) (p16-INK4) (p16INK4A)"
"CDR2","CDR2",0.3147508241,1.33200598,3,44,"(0.3,0.4]",NA,NA
"CHAF1B","CHAF1B",-0.3570296864,1.431465,3,98,"(-0.4,-0.3]","FUNCTION: Acts as a component of the histone chaperone complex chromatin assembly factor 1 (CAF-1), which assembles histone octamers onto DNA during replication and repair. CAF-1 performs the first step of the nucleosome assembly process, bringing newly synthesized histones H3 and H4 to replicating DNA; histones H2A/H2B can bind to this chromatin precursor subsequent to DNA replication to complete the histone octamer. {ECO:0000269|PubMed:9813080}.","Chromatin assembly factor 1 subunit B (CAF-1 subunit B) (Chromatin assembly factor I p60 subunit) (CAF-I 60 kDa subunit) (CAF-I p60) (M-phase phosphoprotein 7)"
"CHCHD2;CHCHD2P9","CHCHD2",-0.3061814581,1.923875487,3,75,"(-0.4,-0.3]","FUNCTION: Transcription factor. Binds to the oxygen responsive element of COX4I2 and activates its transcription under hypoxia conditions (4% oxygen), as well as normoxia conditions (20% oxygen) (PubMed:23303788). {ECO:0000269|PubMed:23303788}.","Coiled-coil-helix-coiled-coil-helix domain-containing protein 2 (Aging-associated gene 10 protein) (HCV NS2 trans-regulated protein) (NS2TP)"
"CHMP3","CHMP3",-0.4145465121,2.411368394,3,127,"(-0.5,-0.4]","FUNCTION: Probable core component of the endosomal sorting required for transport complex III (ESCRT-III) which is involved in multivesicular bodies (MVBs) formation and sorting of endosomal cargo proteins into MVBs. MVBs contain intraluminal vesicles (ILVs) that are generated by invagination and scission from the limiting membrane of the endosome and mostly are delivered to lysosomes enabling degradation of membrane proteins, such as stimulated growth factor receptors, lysosomal enzymes and lipids. The MVB pathway appears to require the sequential function of ESCRT-O, -I,-II and -III complexes. ESCRT-III proteins mostly dissociate from the invaginating membrane before the ILV is released. The ESCRT machinery also functions in topologically equivalent membrane fission events, such as the terminal stages of cytokinesis and the budding of enveloped viruses (HIV-1 and other lentiviruses). ESCRT-III proteins are believed to mediate the necessary vesicle extrusion and/or membrane fission activities, possibly in conjunction with the AAA ATPase VPS4. Selectively binds to phosphatidylinositol 3,5-bisphosphate PtdIns(3,5)P2 and PtdIns(3,4)P2 in preference to other phosphoinositides tested. Involved in late stages of cytokinesis. Plays a role in endosomal sorting/trafficking of EGF receptor. Isoform 2 prevents stress-mediated cell death and accumulation of reactive oxygen species when expressed in yeast cells. {ECO:0000269|PubMed:14505570, ECO:0000269|PubMed:15707591, ECO:0000269|PubMed:16740483, ECO:0000269|PubMed:17331679, ECO:0000269|PubMed:18076377}.","Charged multivesicular body protein 3 (Chromatin-modifying protein 3) (Neuroendocrine differentiation factor) (Vacuolar protein sorting-associated protein 24) (hVps24)"
"CLIC1","CLIC1",0.5036919887,1.727505212,4,17,"(0.5,0.6]","FUNCTION: In the soluble state, catalyzes glutaredoxin-like thiol disulfide exchange reactions with reduced glutathione as electron donor. Reduces selenite and dehydroascorbate and may act as an antioxidant during oxidative stress response (PubMed:25581026, PubMed:37759794). Can insert into membranes and form voltage-dependent multi-ion conductive channels. Membrane insertion seems to be redox-regulated and may occur only under oxidizing conditions. Involved in regulation of the cell cycle. {ECO:0000269|PubMed:10834939, ECO:0000269|PubMed:10874038, ECO:0000269|PubMed:11195932, ECO:0000269|PubMed:11551966, ECO:0000269|PubMed:11940526, ECO:0000269|PubMed:11978800, ECO:0000269|PubMed:14613939, ECO:0000269|PubMed:16339885, ECO:0000269|PubMed:25581026, ECO:0000269|PubMed:37759794, ECO:0000269|PubMed:9139710}.","Chloride intracellular channel protein 1 (Chloride channel ABP) (Glutaredoxin-like oxidoreductase CLIC1) (EC 1.8.-.-) (Glutathione-dependent dehydroascorbate reductase CLIC1) (EC 1.8.5.1) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC)"
"CLSTN1","CLSTN1",0.303741691,1.627220878,3,47,"(0.3,0.4]","FUNCTION: Postsynaptic adhesion molecule that binds to presynaptic neurexins to mediate both excitatory and inhibitory synapse formation (By similarity). Promotes synapse development by acting as a cell adhesion molecule at the postsynaptic membrane, which associates with neurexin-alpha at the presynaptic membrane (By similarity). Also functions as a cargo in axonal anterograde transport by acting as a molecular adapter that promotes KLC1 association with vesicles (PubMed:21385839). Complex formation with APBA2 and APP, stabilizes APP metabolism and enhances APBA2-mediated suppression of beta-APP40 secretion, due to the retardation of intracellular APP maturation (PubMed:12972431). {ECO:0000250|UniProtKB:Q99JH7, ECO:0000250|UniProtKB:Q9EPL2, ECO:0000269|PubMed:12972431, ECO:0000269|PubMed:21385839}.; FUNCTION: [Soluble Alc-alpha]: As intracellular fragment AlcICD, suppresses APBB1-dependent transactivation stimulated by APP C-terminal intracellular fragment (AICD), most probably by competing with AICD for APBB1-binding (PubMed:15037614). {ECO:0000305|PubMed:15037614}.; FUNCTION: [CTF1-alpha]: In complex with APBA2 and C99, a C-terminal APP fragment, abolishes C99 interaction with PSEN1 and thus APP C99 cleavage by gamma-secretase, most probably through stabilization of the direct interaction between APBA2 and APP (PubMed:15037614). {ECO:0000305|PubMed:15037614}.","Calsyntenin-1 (Alcadein-alpha) (Alc-alpha) (Alzheimer-related cadherin-like protein) (Non-classical cadherin XB31alpha) [Cleaved into: Soluble Alc-alpha (SAlc-alpha); CTF1-alpha (C-terminal fragment 1-alpha)]"
